i,rel_acc,rel_pot
487,2.045793e-07,1.855160e-08
488,9.710951e-07,4.575187e-08
489,1.135531e-06,3.893932e-07
490,3.366289e-07,1.966533e-05
491,8.521805e-07,5.548556e-07
492,1.376595e-06,2.351333e-07
493,7.348397e-07,9.201232e-08
494,5.853436e-06,4.286648e-06
495,4.504000e-07,2.038648e-08
496,2.430177e-07,2.529245e-07
497,4.590183e-07,8.857295e-08
498,3.173719e-07,2.267228e-07
499,1.324935e-07,2.513048e-07
500,9.787989e-07,9.899152e-07
501,7.385109e-07,1.284379e-06
502,2.536098e-06,4.544486e-09
503,1.385553e-06,1.752211e-07
504,1.125963e-07,3.823363e-08
505,2.277884e-06,2.668459e-06
506,3.807430e-07,3.416572e-07
507,4.892961e-06,2.280125e-06
508,1.162775e-06,1.855837e-07
509,8.058046e-07,1.174710e-07
510,1.776653e-07,4.678212e-07
511,1.361672e-06,4.027538e-07
512,7.876412e-08,2.529756e-08
513,9.016971e-06,2.513216e-04
514,2.205559e-07,1.838648e-08
515,1.198186e-06,5.441182e-07
516,7.865482e-07,1.286415e-05
517,4.167299e-07,1.183988e-07
518,1.957376e-06,1.659175e-07
519,1.076848e-06,4.581991e-07
520,1.567372e-07,5.852883e-07
521,1.850736e-06,6.533192e-08
522,2.795314e-07,2.133942e-07
523,1.567363e-06,6.636941e-07
524,6.004519e-08,1.392561e-07
525,2.075463e-06,4.744061e-07
526,2.760701e-06,2.167266e-06
527,1.523116e-06,5.085821e-09
528,9.344884e-07,1.512120e-07
529,1.738252e-06,2.188782e-08
530,6.708372e-07,2.901977e-07
531,2.443698e-07,2.993429e-07
532,9.361911e-07,1.072839e-07
533,4.985150e-07,8.732666e-08
534,4.691810e-07,1.460999e-07
535,2.353110e-07,1.101321e-07
536,1.383561e-06,6.808847e-09
537,6.073061e-07,1.175084e-07
538,1.280385e-06,5.246749e-08
539,1.178799e-06,2.028238e-07
540,1.094856e-07,9.911851e-08
541,4.026128e-08,4.654822e-07
542,6.225151e-07,9.829582e-07
543,1.992193e-05,1.467516e-04
544,1.008872e-06,3.939076e-07
545,1.593648e-06,2.020627e-06
546,1.302235e-07,5.465132e-07
547,2.819191e-06,6.261652e-06
548,1.061229e-06,1.462061e-07
549,1.455384e-07,3.076001e-06
550,3.129476e-07,1.382968e-07
551,4.393648e-07,1.456066e-07
552,1.477914e-06,1.358090e-07
553,1.737563e-06,3.593531e-06
554,7.679251e-07,1.226835e-07
555,2.029505e-06,7.736143e-05
556,1.521717e-06,3.865089e-07
557,1.729535e-07,1.331070e-09
558,4.937046e-07,1.085503e-07
559,2.990484e-07,6.551138e-07
560,1.754837e-06,4.466062e-07
561,1.689028e-06,2.194429e-07
562,9.670507e-07,1.060920e-08
563,7.434215e-07,4.057617e-08
564,9.540121e-06,9.009882e-06
565,9.589893e-09,2.970676e-07
566,2.009322e-07,4.698506e-07
567,1.323093e-07,3.702741e-07
568,6.293670e-07,1.122997e-06
569,1.984073e-07,1.892160e-06
570,3.218121e-07,1.499455e-06
571,6.948787e-08,1.269309e-06
572,3.259338e-06,1.366025e-07
573,2.704093e-06,7.945360e-06
574,9.205285e-07,4.732411e-07
575,4.371817e-08,1.426691e-07
576,3.292217e-07,6.342505e-07
577,5.957224e-07,2.652054e-07
578,5.786442e-07,4.490743e-07
579,3.270461e-06,1.711308e-07
580,4.707826e-07,6.962123e-07
581,1.968826e-06,8.593844e-07
582,6.573431e-07,1.241775e-07
583,5.351656e-07,1.171427e-07
584,1.309723e-06,3.325601e-07
585,3.735262e-06,5.713896e-07
586,1.663367e-07,1.501886e-07
587,7.405462e-07,1.255814e-07
588,2.626489e-06,5.165733e-07
589,1.900057e-07,1.469400e-07
590,1.702434e-06,1.318857e-07
591,3.094289e-06,1.074520e-08
592,3.919722e-07,6.979337e-08
593,8.591042e-07,2.790597e-07
594,2.917908e-07,2.540835e-07
595,4.744528e-07,1.607272e-07
596,1.525839e-06,7.086026e-07
597,1.238227e-07,7.638377e-07
598,1.209036e-06,2.813752e-08
599,2.122591e-07,2.066945e-07
600,5.233351e-07,5.396665e-08
601,1.553795e-06,5.119692e-07
602,1.566681e-06,2.887366e-07
603,5.203532e-07,7.332999e-07
604,6.407111e-07,5.398228e-08
605,2.172454e-06,3.555055e-07
606,4.936768e-07,5.340955e-08
607,6.288530e-07,7.737794e-08
608,4.807282e-07,7.172398e-07
609,9.606647e-07,1.118488e-08
610,1.353519e-06,1.641515e-06
611,5.046544e-06,5.638184e-07
612,1.471218e-06,9.406429e-07
613,2.577012e-06,1.747020e-07
614,6.890844e-07,2.106111e-07
615,1.217615e-08,2.147549e-07
616,6.621801e-07,4.408209e-07
617,6.779674e-09,2.995017e-07
618,4.018935e-07,1.114804e-08
619,2.618525e-07,7.985073e-08
620,5.039422e-07,1.786022e-07
621,4.205534e-07,5.530560e-08
622,6.696494e-07,3.694130e-07
623,2.569871e-07,9.559931e-07
624,7.735324e-07,3.519307e-07
625,4.367117e-07,2.933467e-09
626,6.246128e-08,2.043696e-07
627,1.716978e-07,3.248462e-07
628,4.072223e-06,7.346985e-07
629,2.338898e-06,2.130605e-07
630,1.035582e-06,6.694768e-07
631,1.403984e-06,1.846365e-07
632,1.386985e-06,2.418615e-07
633,7.572900e-07,2.218584e-06
634,3.897723e-07,1.327221e-07
635,6.553426e-07,4.927856e-08
636,3.068965e-07,1.038024e-08
637,6.809999e-07,1.678235e-07
638,1.714277e-07,9.105546e-09
639,5.523580e-07,4.524081e-07
640,1.269084e-06,4.865493e-07
641,1.620539e-07,7.610279e-07
642,2.400323e-06,7.843952e-08
643,1.978666e-07,1.390327e-07
644,2.797349e-07,1.361386e-06
645,2.380735e-06,3.375398e-08
646,4.317382e-06,1.077384e-06
647,7.047324e-07,3.463629e-07
648,2.214637e-06,5.845049e-07
649,1.067146e-07,1.277276e-07
650,3.464014e-07,2.677445e-07
651,2.248651e-06,1.659744e-08
652,9.818161e-07,5.702104e-07
653,6.769739e-08,7.167432e-08
654,5.727946e-07,3.191749e-08
655,9.327220e-07,1.124585e-08
656,9.177859e-07,2.635818e-07
657,7.098743e-07,1.250377e-07
658,2.252898e-06,1.099732e-06
659,2.857070e-07,5.229411e-06
660,2.164653e-07,2.542887e-07
661,2.762867e-06,2.890397e-07
662,1.302772e-06,3.078361e-07
663,8.844880e-07,4.637949e-08
664,8.271784e-08,7.530706e-08
665,1.371169e-06,3.529821e-07
666,3.271553e-07,7.437449e-07
667,9.172083e-07,4.807152e-07
668,1.221668e-06,6.617215e-08
669,1.511128e-06,1.186241e-07
670,7.447614e-07,3.612597e-07
671,8.392488e-07,1.460486e-07
672,4.940362e-07,4.237122e-07
673,6.480746e-07,4.033522e-07
674,3.741773e-07,3.181917e-07
675,2.595516e-06,5.070116e-04
676,7.140992e-07,1.143841e-07
677,1.310076e-06,7.395931e-08
678,2.100455e-06,1.600982e-07
679,3.600503e-07,8.642004e-08
680,1.880123e-07,1.249190e-08
681,1.434879e-06,2.079021e-06
682,6.633576e-07,1.496676e-07
683,5.167024e-07,5.050932e-07
684,4.912589e-07,1.847220e-07
685,3.655159e-06,1.175342e-07
686,1.493580e-08,2.237659e-07
687,2.589368e-06,1.821733e-06
688,1.659624e-07,1.338790e-07
689,7.579603e-07,1.389759e-07
690,4.918006e-08,2.085993e-07
691,6.518636e-07,1.368696e-06
692,2.686988e-07,3.244659e-07
693,2.060071e-06,2.986202e-07
694,8.817264e-07,5.103808e-07
695,6.964567e-07,7.453382e-07
696,5.279437e-07,7.083152e-07
697,2.003092e-07,1.250203e-07
698,2.752951e-07,6.429161e-07
699,4.803691e-07,3.399964e-07
