i,rel_acc,rel_pot
450,6.820733e-08,1.415045e-07
451,9.155331e-08,1.085688e-07
452,1.043392e-06,2.255928e-07
453,6.745515e-07,1.133054e-07
454,1.844289e-06,2.874205e-08
455,5.715084e-06,8.750563e-07
456,5.567799e-07,2.107126e-07
457,7.412350e-07,1.746840e-07
458,8.449372e-07,1.113992e-06
459,4.306793e-07,6.888061e-08
460,1.671885e-06,3.469566e-07
461,2.722103e-07,1.466828e-07
462,4.728118e-07,3.279321e-07
463,2.222315e-06,6.661380e-09
464,8.961936e-07,1.188354e-06
465,2.295135e-07,5.133753e-07
466,1.033603e-06,1.668128e-07
467,5.487368e-06,4.612227e-06
468,1.385890e-06,4.037568e-07
469,4.814210e-08,4.488691e-08
470,8.952407e-07,1.060284e-05
471,5.591245e-07,4.967567e-07
472,2.026698e-07,1.424262e-07
473,1.236026e-06,9.164524e-07
474,3.100050e-07,4.676282e-07
475,1.653094e-06,2.463006e-07
476,3.007852e-07,5.523314e-07
477,1.331851e-07,5.550534e-07
478,2.862095e-07,2.391536e-07
479,2.389179e-06,6.223971e-07
480,3.014706e-06,4.886787e-07
481,1.478958e-06,4.539750e-08
482,1.026040e-06,4.513769e-08
483,6.899337e-07,3.056257e-07
484,4.363176e-07,1.150161e-07
485,3.749387e-07,1.942508e-06
486,2.030288e-06,7.434389e-07
487,5.967476e-07,8.224021e-08
488,4.876645e-07,4.575187e-08
489,1.164990e-06,2.940852e-07
490,9.710329e-07,5.290128e-05
491,9.112868e-07,5.548556e-07
492,1.673664e-06,3.068296e-07
493,6.506116e-07,9.201232e-08
494,5.853436e-06,4.385625e-06
495,3.971694e-07,2.038648e-08
496,1.134076e-07,1.914661e-07
497,5.845140e-07,1.690217e-07
498,3.994598e-07,2.267228e-07
499,1.324935e-07,4.365599e-07
500,5.419829e-07,9.899152e-07
501,7.385109e-07,1.284379e-06
502,2.270049e-06,9.144569e-08
503,1.688786e-06,2.583564e-07
504,1.564314e-07,3.823363e-08
505,2.275254e-06,2.762988e-06
506,2.429501e-07,3.416572e-07
507,4.870319e-06,2.149247e-06
508,4.372398e-07,2.889524e-07
509,4.132428e-07,1.174710e-07
510,1.776653e-07,3.846434e-07
511,1.495344e-06,4.027538e-07
512,1.462184e-07,2.529756e-08
513,9.016971e-06,2.513216e-04
514,2.669478e-07,9.139608e-08
515,1.162450e-06,4.703571e-07
516,7.865482e-07,1.286415e-05
517,5.826801e-08,2.179002e-08
518,1.924861e-06,1.659175e-07
519,1.109300e-06,4.581991e-07
520,1.763053e-07,5.217431e-07
521,1.787230e-06,6.533192e-08
522,3.053848e-07,9.915124e-08
523,1.169913e-06,6.636941e-07
524,5.674628e-08,1.392561e-07
525,2.060946e-06,4.744061e-07
526,2.469063e-06,2.700712e-06
527,1.495345e-06,5.085821e-09
528,1.574877e-06,1.512120e-07
529,1.735672e-06,1.567029e-07
530,1.135728e-06,2.901977e-07
531,1.263408e-07,2.993429e-07
532,8.047503e-07,1.072839e-07
533,6.908840e-07,8.732666e-08
534,1.776556e-07,6.971098e-08
535,2.935028e-07,1.101321e-07
536,1.414844e-06,6.808847e-09
537,6.718342e-07,1.175084e-07
538,1.249808e-06,5.246749e-08
539,1.178799e-06,3.200875e-07
540,8.086490e-08,3.946788e-08
541,2.569174e-07,4.654822e-07
542,1.836573e-07,1.058578e-06
543,1.992193e-05,1.467516e-04
544,2.035942e-07,3.939076e-07
545,1.593648e-06,2.020627e-06
546,3.549706e-07,5.465132e-07
547,2.819191e-06,6.163612e-06
548,1.048233e-06,7.633211e-08
549,1.606014e-07,3.212966e-06
550,2.754519e-07,1.382968e-07
551,6.378958e-07,1.456066e-07
552,1.977714e-06,2.239310e-09
553,1.737563e-06,3.593531e-06
554,5.688308e-07,5.104338e-08
555,2.101622e-06,7.736143e-05
556,1.309749e-06,3.865089e-07
557,1.738740e-07,1.331070e-09
558,5.655509e-07,1.085503e-07
559,7.885997e-07,5.094964e-07
560,1.752697e-06,4.466062e-07
561,1.608090e-06,3.170963e-07
562,9.466832e-07,1.060920e-08
563,4.688710e-07,4.057617e-08
564,9.540121e-06,9.009882e-06
565,3.727528e-09,2.970676e-07
566,5.050107e-08,4.698506e-07
567,2.135486e-07,3.702741e-07
568,6.309074e-07,1.122997e-06
569,1.984073e-07,1.698322e-06
570,3.010388e-07,1.342167e-06
571,6.948787e-08,1.269309e-06
572,4.143539e-06,1.366025e-07
573,2.704099e-06,7.945360e-06
574,8.333423e-07,5.891573e-07
575,3.243918e-07,1.426691e-07
576,3.927484e-07,6.342505e-07
577,2.100099e-07,8.389875e-08
578,9.687569e-08,3.761455e-07
579,3.341139e-06,1.711308e-07
580,4.629397e-07,5.375536e-07
581,1.900650e-06,7.944252e-07
582,5.853785e-07,1.241775e-07
583,2.973954e-07,1.888530e-07
584,1.539394e-06,2.537932e-07
585,3.660175e-06,5.713896e-07
586,1.746920e-07,1.501886e-07
587,6.235863e-07,2.436354e-07
588,2.688371e-06,5.165733e-07
589,4.156713e-09,1.469400e-07
590,1.638533e-06,2.045808e-07
591,3.151733e-06,1.444775e-07
592,1.831096e-07,6.979337e-08
593,8.597646e-07,3.631460e-07
594,2.356538e-07,2.540835e-07
595,1.177966e-07,9.889119e-08
596,1.532102e-06,5.869799e-07
597,5.779053e-07,7.638377e-07
598,1.216237e-06,1.120639e-07
599,6.523389e-07,1.023303e-07
600,1.209870e-07,2.213532e-08
601,1.517084e-06,5.119692e-07
602,1.590562e-06,2.887366e-07
603,4.339674e-07,7.332999e-07
604,7.784726e-07,5.398228e-08
605,1.963949e-06,3.555055e-07
606,3.930152e-07,1.178770e-07
607,9.788879e-07,1.462752e-08
608,5.715177e-07,7.980823e-07
609,9.587623e-07,1.118488e-08
610,1.353519e-06,1.641515e-06
611,4.973920e-06,6.353981e-07
612,1.484008e-06,1.047544e-06
613,5.157213e-06,1.747020e-07
614,7.942283e-07,2.106111e-07
615,3.937731e-09,2.147549e-07
616,6.621801e-07,2.380759e-07
617,5.084464e-07,1.383839e-07
618,3.930026e-07,1.114804e-08
619,3.061378e-07,7.985073e-08
620,5.003461e-07,8.815009e-08
621,3.219313e-07,5.530560e-08
622,6.292371e-07,2.532244e-07
623,2.569871e-07,9.559931e-07
624,5.781288e-07,3.519307e-07
625,1.441506e-07,1.591418e-07
626,7.667020e-07,3.413477e-07
627,3.530813e-09,3.850592e-07
628,4.075696e-06,7.346985e-07
629,2.589950e-06,2.130605e-07
630,1.004784e-06,7.395634e-07
631,1.590176e-06,1.846365e-07
632,1.221594e-06,3.456780e-07
633,7.079027e-07,2.218584e-06
634,3.979732e-07,1.327221e-07
635,6.553426e-07,4.927856e-08
636,3.988113e-07,1.038024e-08
637,8.441288e-07,3.798424e-08
638,5.992856e-07,6.079355e-08
639,3.270235e-07,5.661416e-07
640,1.288823e-06,4.865493e-07
641,9.387494e-07,1.116303e-06
642,2.137743e-06,7.843952e-08
643,1.986086e-07,2.122308e-07
644,2.888454e-07,1.284815e-06
645,2.389653e-06,9.122834e-08
646,4.270234e-06,1.077384e-06
647,6.043168e-07,3.463629e-07
648,2.214503e-06,5.845049e-07
649,2.880886e-08,5.355343e-08
650,1.682664e-07,2.677445e-07
651,2.254897e-06,1.659744e-08
652,1.887377e-06,5.087497e-07
653,9.409247e-08,1.396810e-07
654,5.727946e-07,4.546278e-08
655,8.984991e-07,1.124585e-08
656,1.084912e-06,2.635818e-07
657,6.418887e-07,5.619378e-08
658,2.317063e-06,1.099732e-06
659,1.256829e-06,2.240647e-06
660,1.498250e-07,1.505616e-07
661,2.765923e-06,3.581984e-07
662,3.258588e-07,2.407566e-07
663,8.722421e-07,2.209341e-08
664,1.510773e-08,7.530706e-08
665,1.013420e-06,2.915829e-07
666,3.280138e-07,8.136653e-07
667,9.017240e-07,4.807152e-07
668,9.959823e-07,2.955497e-08
669,1.511128e-06,1.186241e-07
670,6.412166e-07,3.612597e-07
671,5.516752e-07,1.460486e-07
672,8.293720e-07,4.237122e-07
673,6.480746e-07,4.033522e-07
674,7.449559e-07,3.861774e-07
675,2.590491e-06,4.865663e-04
676,7.814489e-07,3.389270e-09
677,7.275432e-07,7.395931e-08
678,2.296762e-06,9.831565e-08
679,3.600503e-07,8.642004e-08
680,4.917602e-07,1.249190e-08
681,1.380580e-06,2.079021e-06
682,7.435545e-07,1.496676e-07
683,3.530411e-07,3.878806e-07
684,1.192931e-06,1.179526e-07
685,3.681390e-06,1.175342e-07
686,1.600173e-08,2.237659e-07
687,2.629326e-06,1.686373e-06
688,1.075838e-07,2.495887e-07
689,1.029360e-06,1.389759e-07
690,1.135392e-07,2.085993e-07
691,7.662004e-07,1.574011e-06
692,5.701432e-08,3.244659e-07
693,2.106128e-06,2.986202e-07
694,9.734583e-07,5.103808e-07
695,6.091481e-07,7.453382e-07
696,7.806515e-08,7.083152e-07
697,7.774460e-07,1.851577e-07
698,2.366361e-07,5.272278e-07
699,4.814943e-07,3.399964e-07
700,7.424730e-07,9.119931e-10
701,1.611536e-07,7.412461e-07
702,1.271365e-06,4.538358e-07
703,4.113300e-07,2.900191e-07
704,1.901236e-06,1.117595e-06
705,8.447273e-07,8.913055e-08
706,2.303263e-06,1.660046e-06
707,2.010076e-07,6.872758e-08
708,3.660047e-06,1.158955e-06
709,2.885844e-07,2.471263e-08
710,2.208309e-06,2.698019e-07
711,2.067965e-06,1.993804e-07
712,1.808120e-06,1.809166e-06
713,6.851658e-07,1.450689e-07
714,3.476983e-07,6.396458e-07
715,6.141651e-07,1.907129e-07
716,5.223285e-06,6.663520e-07
717,6.366201e-07,2.419210e-07
718,7.760708e-07,2.327690e-07
719,3.628590e-06,1.184975e-05
720,1.638552e-06,1.032954e-07
721,2.071117e-06,1.619056e-06
722,9.798190e-07,1.220575e-06
723,4.785865e-08,8.984670e-07
724,1.903344e-06,8.442651e-08
725,2.363469e-08,3.635153e-07
726,1.626577e-06,7.690500e-07
727,9.348152e-07,4.704584e-08
728,6.674626e-06,5.660818e-06
729,1.776900e-06,7.358658e-08
730,8.434796e-07,5.221050e-07
731,2.552204e-07,6.053259e-07
732,1.893716e-06,4.858005e-06
733,5.881166e-07,1.236292e-07
734,6.268912e-07,5.369835e-08
735,1.652981e-06,1.009299e-05
736,6.080183e-06,2.934852e-07
737,2.038635e-06,3.796411e-07
738,3.868572e-07,1.035983e-07
739,1.189007e-06,6.982176e-07
740,2.844356e-07,8.196022e-07
741,9.126595e-07,3.784169e-08
742,1.281813e-06,1.032492e-07
743,1.821553e-06,8.842586e-07
744,2.197258e-06,2.790977e-07
745,6.741441e-07,2.865560e-07
746,6.533217e-07,1.486227e-07
747,2.680853e-06,2.613816e-07
748,3.067441e-07,5.279325e-07
749,1.277895e-06,7.350615e-09
750,1.165560e-06,4.698547e-07
751,1.458717e-07,1.206201e-07
752,2.172137e-07,3.191482e-07
753,6.960623e-07,4.353822e-07
754,2.434314e-06,4.975598e-07
755,3.900082e-07,7.996698e-07
756,6.600882e-07,1.813941e-07
757,7.413558e-07,2.776060e-07
758,2.200243e-06,7.449687e-07
759,7.059522e-07,8.175264e-08
760,6.795475e-07,1.751861e-07
761,6.757514e-07,2.661464e-07
762,2.939122e-07,1.376399e-07
763,4.931576e-07,1.873171e-07
764,3.812905e-07,5.419905e-08
765,9.673156e-07,2.068611e-07
766,6.982471e-07,4.641266e-07
767,1.762982e-06,1.598715e-07
768,1.312748e-06,1.401214e-07
769,1.922608e-06,3.846595e-07
770,5.528321e-06,1.574396e-06
771,2.808662e-06,4.598086e-07
772,5.039717e-07,9.518700e-08
773,5.247134e-07,7.695236e-08
774,7.598726e-08,3.653860e-07
