# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
epep,neon4,256,32,39613.0,2.068e+08
epep,neon1,256,32,36255.0,2.260e+08
epep,nosimd,256,128,602794.3,5.436e+07
epep,neon4,256,128,147195.9,2.226e+08
epep,neon1,256,128,123720.2,2.649e+08
epep,nosimd,256,512,2405784.4,5.448e+07
epep,neon4,256,512,578543.8,2.266e+08
epep,neon1,256,512,474104.6,2.765e+08
epep,nosimd,256,2048,9706803.5,5.401e+07
epep,neon4,256,2048,2359545.4,2.222e+08
epep,neon1,256,2048,1871769.3,2.801e+08
epep,nosimd,1024,8,158582.4,5.166e+07
epep,neon4,1024,8,49838.2,1.644e+08
epep,neon1,1024,8,55335.2,1.480e+08
epep,nosimd,1024,32,610566.0,5.367e+07
epep,neon4,1024,32,157426.8,2.081e+08
epep,neon1,1024,32,143198.9,2.288e+08
epep,nosimd,1024,128,2410453.6,5.438e+07
epep,neon4,1024,128,587241.6,2.232e+08
epep,neon1,1024,128,493304.6,2.657e+08
epep,nosimd,1024,512,9622297.7,5.449e+07
epep,neon4,1024,512,2311156.8,2.269e+08
epep,neon1,1024,512,1902536.1,2.756e+08
epep,nosimd,1024,2048,38831513.3,5.401e+07
epep,neon4,1024,2048,9452954.3,2.219e+08
epep,neon1,1024,2048,7471152.6,2.807e+08
