# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
epep,neon1,1024,8,54991.2,1.490e+08
mono,nosimd,1024,8,128280.4,6.386e+07
mono,neon4,1024,8,52022.0,1.575e+08
mono,neon1,1024,8,51564.5,1.589e+08
quad,nosimd,1024,8,343963.0,2.382e+07
quad,neon4,1024,8,90954.0,9.007e+07
quad,neon1,1024,8,86324.3,9.490e+07
nb,nosimd,1024,32,119047.6,2.753e+08
nb,neon4,1024,32,59108.4,5.544e+08
nb,neon1,1024,32,42114.6,7.781e+08
epep,nosimd,1024,32,609456.4,5.377e+07
epep,neon4,1024,32,157443.6,2.081e+08
epep,neon1,1024,32,143196.5,2.288e+08
mono,nosimd,1024,32,487351.4,6.724e+07
mono,neon4,1024,32,156532.6,2.093e+08
mono,neon1,1024,32,136416.0,2.402e+08
quad,nosimd,1024,32,1366377.4,2.398e+07
quad,neon4,1024,32,317528.1,1.032e+08
quad,neon1,1024,32,268057.3,1.222e+08
nb,nosimd,1024,128,468942.3,2.795e+08
nb,neon4,1024,128,211763.5,6.190e+08
nb,neon1,1024,128,133947.0,9.785e+08
epep,nosimd,1024,128,2410256.1,5.438e+07
epep,neon4,1024,128,587324.6,2.232e+08
epep,neon1,1024,128,492446.8,2.662e+08
mono,nosimd,1024,128,1923972.4,6.813e+07
mono,neon4,1024,128,574406.9,2.282e+08
mono,neon1,1024,128,467950.0,2.801e+08
quad,nosimd,1024,128,5447847.7,2.406e+07
quad,neon4,1024,128,1216952.9,1.077e+08
quad,neon1,1024,128,996365.2,1.316e+08
nb,nosimd,1024,512,1870368.7,2.803e+08
nb,neon4,1024,512,829454.0,6.321e+08
nb,neon1,1024,512,502524.2,1.043e+09
epep,nosimd,1024,512,9622595.4,5.449e+07
epep,neon4,1024,512,2311030.9,2.269e+08
epep,neon1,1024,512,1888402.4,2.776e+08
mono,nosimd,1024,512,7669975.4,6.836e+07
mono,neon4,1024,512,2249123.4,2.331e+08
mono,neon1,1024,512,1790454.9,2.928e+08
quad,nosimd,1024,512,21791946.0,2.406e+07
quad,neon4,1024,512,4819457.9,1.088e+08
quad,neon1,1024,512,3904819.3,1.343e+08
nb,nosimd,1024,2048,10667110.0,1.966e+08
nb,neon4,1024,2048,4111699.1,5.100e+08
nb,neon1,1024,2048,1988627.3,1.055e+09
epep,nosimd,1024,2048,38832292.0,5.401e+07
epep,neon4,1024,2048,9458646.6,2.217e+08
epep,neon1,1024,2048,7475638.4,2.805e+08
mono,nosimd,1024,2048,30673774.7,6.837e+07
mono,neon4,1024,2048,8943521.2,2.345e+08
mono,neon1,1024,2048,7078501.0,2.963e+08
quad,nosimd,1024,2048,88840312.0,2.361e+07
quad,neon4,1024,2048,19441275.7,1.079e+08
quad,neon1,1024,2048,15802686.0,1.327e+08
